ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Number
maan1238,Ma'anyan,,-2.1239,115.092,maan1238,,319
paku1239,Paku,,-1.9063,115.087,paku1239,,320
plat1254,Plateau Malagasy,,-19.5907,47.1211,plat1254,,321
sout2920,Southern Betsimisaraka Malagasy,,-22.8,47.82,sout2920,,322
bush1250,Kibosy Kiantalaotsy-Majunga,,-12.9652,45.1368,bush1250,,323
anta1255,Antankarana Malagasy,,-13.2164,49.2402,anta1255,,324
nort2890,Northern Betsimisaraka Malagasy,,-19.9184,48.812,nort2890,,325
tsim1257,Tsimihety Malagasy,,-15.4294,48.8102,tsim1257,,326
bara1369,Bara Malagasy,,-23.9716,45.5937,bara1369,,327
tano1246,Tanosy Malagasy,,-24.9186,47.1357,tano1246,,328
masi1268,Masikoro Malagasy,,-22.5582,43.8156,masi1268,,329
saka1291,West Malagasy Sakalava,,-20.28,44.32,saka1291,,330
maha1309,Mahafaly-Antanalana Malagasy,,-24.2,44.5,maha1309,,331
tesa1236,Tesaka Malagasy,,-23.3,47.33,tesa1236,,332
tand1256,Tandroy Malagasy,,-24.80155,45.9,tand1256,,333
bong1289,Bonggi,,7.29249,117.174,bong1289,,334
idaa1241,Ida'an,,5.29059,118.515,idaa1241,,335
dump1242,Dumpas,,5.93483,117.419,dump1242,,336
labu1249,Labuk-Kinabatangan Kadazan,,5.51924,117.507,labu1249,,337
rung1259,Rungus,,6.83989,116.743,rung1259,,338
kima1244,Kimaragang,,6.61982,116.96,kima1244,,339
tobi1239,Tobilung,,6.56097,116.67,tobi1239,,340
kota1279,Kota Marudu Talantang,,6.48554,116.853,kota1279,,341
cent2100,Kadazan Dusun,,6.02998,116.681,cent2100,,342
mino1243,Minokok,,5.43348,116.759,mino1243,,343
sugu1243,Sugut Dusun,,6.14235,117.176,sugu1243,,344
kuij1237,Kuijau,,5.47179,116.108,kuij1237,,345
klia1235,Klias River Kadazan,,5.39453,115.582,klia1235,,346
tomb1244,Tombonuo,,6.2892,117.322,tomb1244,,347
abai1240,Abai Sungai,,5.55394,118.306,abai1240,,348
lana1236,Lanas Lobu,,5.39196,116.577,lana1236,,349
tamp1254,Tampias Lobu,,5.72467,116.789,tamp1254,,350
uppe1427,Upper Kinabatangan,,5.31911,116.901,uppe1427,,351
seru1246,Serudung Murut,,4.39954,117.279,seru1246,,352
brun1245,Brunei Bisaya-Dusun,,4.60791,114.517,brun1245,,353
lotu1250,Lotud,,6.13732,116.232,lotu1250,,354
saba1267,Sabah Bisaya,,5.30433,115.512,saba1267,,355
gana1277,Gana,,5.57583,116.145,gana1277,,356
book1241,Bookan,,5.32519,116.474,book1241,,357
keni1249,Keningau Murut,,5.42272,116.198,keni1249,,358
timu1262,Timugon Murut,,5.1796,115.826,timu1262,,359
palu1253,Paluan,,5.02715,116.346,palu1253,,360
taga1273,Tagal Murut,,4.42907,116.177,taga1273,,361
buru1304,Burusu,,3.36912,117.012,buru1304,,362
nort3262,Northern Tidung,,5.8606,117.5455,nort3262,,363
sout3241,Southern Tidung,,4.0,117.75,sout3241,,364
kala1391,Kalabakan,,4.53605,117.317,kala1391,,365
okol1241,Okolod,,4.53989,115.753,okol1241,,366
selu1243,Selungai Murut,,4.34788,116.45,selu1243,,367
semb1240,Sembakung Murut,,4.22102,116.799,semb1240,,368
abai1241,Abai Tubu-Abai Sembuak,,3.524226,116.162455,abai1241,,369
papa1268,Papar,,5.57378,115.58,papa1268,,370
tata1257,Tatana,,5.49808,115.553,tata1257,,371
bolo1268,Bolongan,,2.75927,117.293,bolo1268,,372
kipu1237,Kiput,,4.16535,114.367,kipu1237,,373
bela1260,Lemeting,,4.96207,114.933,bela1260,,374
tuto1241,Tutong,,4.74327,114.638,tuto1241,,375
lela1246,Lelak,,4.11426,114.029,lela1246,,376
naro1251,Narom,,4.42115,114.011,naro1251,,377
cent2098,Central Berawan,,3.97194,114.565,cent2098,,378
east2486,East Berawan,,3.96098,114.606,east2486,,379
west2564,West Berawan,,3.9815,114.528,west2564,,380
kela1258,Kelabit,,3.31783,115.428,kela1258,,381
leng1260,Lengilu,,3.69641,115.91,leng1260,,382
lund1271,Lundayeh,,4.25064,115.5,lund1271,,383
saba1265,Sa'ban,,3.58723,115.664,saba1265,,384
trin1273,Tring,,1.335,110.036,trin1273,,385
bint1246,Bintulu,,3.867,113.634,bint1246,,386
waha1238,Eastern Lowland Kenyah,,1.56635,116.655,waha1238,,387
east2485,Eastern Penan,,4.5915,114.584,east2485,,388
sebo1238,Sebop,,3.42701,114.178,sebo1238,,389
west2563,Western Penan,,3.4667,114.523,west2563,,390
long1406,Western Lowland Kenyah,,3.85226,114.82,long1406,,391
umal1239,Uma' Lasan,,2.14141,114.205,umal1239,,392
umal1238,Uma' Lung,,3.25,116.5,umal1238,,393
main1275,Usun Apau Kenyah,,3.54443,114.039,main1275,,394
kaja1250,Kajaman,,2.78613,113.886,kaja1250,,395
laha1253,Lahanan,,2.72734,113.947,laha1253,,396
seka1248,Sekapan,,2.47567,113.562,seka1248,,397
cent2101,Central Melanau,,2.524086,111.346451,cent2101,,398
daro1239,Daro-Matu Melanau,,2.54435,111.536,daro1239,,399
kano1244,Kanowit-Tanjong Melanau,,2.03781,112.383,kano1244,,400
sibu1258,Sibu Melanau,,2.26758,111.763,sibu1258,,401
puna1267,Punan Aput,,1.38035,116.089,puna1267,,402
puna1278,Punan Batu 1,,2.65327,113.93,puna1278,,403
puna1268,Punan Merah,,0.50763,115.588,puna1268,,404
sian1255,Sihan,,2.66154,113.843,sian1255,,405
buka1261,Bukat,,1.29075,113.246,buka1261,,406
buki1248,Bukitan,,2.34947,114.895,buki1248,,407
ukit1237,Ukit,,1.56623,114.579,ukit1237,,408
puna1275,Punan Bah-Biau,,2.27377,113.156,puna1275,,409
puna1266,Punan Tubu,,2.86972,116.26,puna1266,,410
saja1241,Sajau-Latti,,2.43432,117.401,saja1241,,411
aohe1237,Aoheng-Seputan,,0.87404,114.127,aohe1237,,412
hovo1239,Hobongan,,0.9841,113.897,hovo1239,,413
kere1285,Kereho,,0.64649,113.644,kere1285,,414
baha1257,Bahau,,0.30801,115.332,baha1257,,415
bara1370,Baram Kayan,,3.51211,114.482,bara1370,,416
kaya1325,Kayan River Kayan,,1.78269,115.827,kaya1325,,417
mend1267,Mendalam Kayan,,0.98794,113.286,mend1267,,418
busa1255,Busang Kayan,,0.03494,115.401,busa1255,,419
kaya1324,Kayan Mahakam,,0.91787,114.452,kaya1324,,420
reja1241,Rejang Kayan,,2.71903,114.169,reja1241,,421
